,Entry,Formula,Structure,A,B,INT_AA_dist,INT_BB_dist,INT_AB_dist,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_AA_dist_by_2_by_Asize,INT_BB_dist_by_2_by_Bsize,INT_AB_dist_by_ABsizes,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_dist_AA_minus_ref_diff,INT_dist_BB_minus_ref_diff,INT_dist_AB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
0,EntryWithCollCode105403,NiTh,AgSr,Ni,Th,2.717,3.679,2.909,1.246,1.798,0.693,1.09,1.023,0.956,1.202,1.707,-0.035,-0.051,0.115,0.072,0.0,0.004,2.717,2.909,1.09,0.956,1.13,1.0,0.051,0.035,0.0,4,4,2,2,2,8,8,2,2,2.0,2.0,2,7,2.0,6.5,1.071,1.008,1.071,1.007,2,2,2.0,2.0,1.0,1.272,1.0,1.267,2,2,2.0,2.0,0,0,0.0,0.0,11.75,4.5,7.25,75.184,0.189,29.25,19.5,2.124,2.199,46.274,0.573,8.0,4.5,3.5,41.3,0.14,18.0,12.0,1.62,1.901,19.196,0.44,8.0,4.5,8.5,86.478,0.336,33.0,22.0,2.292,2.299,55.301,0.618
1,EntryWithCollCode190197,PrSb,NaCl,Pr,Sb,4.525,4.525,3.199,1.82,1.434,1.269,1.243,1.578,0.983,1.786,1.413,-0.019,-0.015,0.211,0.375,0.0,0.001,4.525,3.199,1.243,0.983,1.267,1.0,0.019,0.015,0.0,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.415,1.415,1.415,1.415,12,12,12.0,12.0,1.415,1.415,1.415,1.415,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,109.135,0.0,18.75,12.5,2.419,2.613,76.722,0.654,6.0,3.0,3.0,43.66,0.0,12.0,8.0,1.847,2.262,26.391,0.604,6.0,9.0,3.0,130.959,0.0,21.0,14.0,2.609,2.73,93.5,0.67
2,EntryWithCollCode235960,PrGa,CaSi#AlTh,Ga,Pr,2.619,3.814,3.162,1.243,1.82,0.683,1.053,1.048,1.032,1.274,1.888,0.025,0.037,0.027,0.01,0.0,0.002,2.619,3.162,1.053,1.032,1.027,1.0,0.037,0.025,0.0,4,4,2,1,1,4,4,2,4,2.0,4.0,2,7,2.0,7.0,1.207,1.027,1.207,1.027,4,1,4.0,1.0,1.0,1.206,1.0,1.206,2,4,2.0,4.0,0,0,0.0,0.0,13.0,4.5,8.5,104.975,0.12,33.0,22.0,2.519,2.588,72.674,0.678,13.0,4.5,8.5,104.975,0.12,33.0,22.0,2.519,2.588,72.674,0.678,13.0,4.5,8.5,104.975,0.12,33.0,22.0,2.519,2.588,72.674,0.678
3,EntryWithCollCode235971,HoNi,FeB,Ho,Ni,3.538,2.537,2.838,1.745,1.246,1.4,1.014,1.018,0.949,1.644,1.194,-0.058,-0.041,0.071,0.058,0.0,0.005,2.537,2.838,1.018,0.949,1.062,1.0,0.058,0.041,0.0,4,4,2,1,1,4,4,1,2,1.0,2.0,7,2,7.0,2.0,1.007,1.119,1.007,1.119,1,1,1.0,1.0,1.247,1.0,1.247,1.0,0,0,0.0,0.0,1,2,1.0,2.0,11.75,7.25,4.5,68.028,0.13,29.25,19.5,2.067,2.163,41.965,0.588,8.0,3.5,4.5,37.2,0.105,18.0,12.0,1.588,1.859,18.356,0.464,8.0,8.5,4.5,78.304,0.206,33.0,22.0,2.227,2.264,49.835,0.63
4,EntryWithCollCode623049,CoGa,CsCl,Ga,Co,2.882,2.882,2.496,1.243,1.25,0.994,1.159,1.153,1.001,1.244,1.252,0.001,0.001,0.136,0.132,0.0,0.0,2.882,2.496,1.159,1.001,1.158,1.0,0.001,0.001,0.0,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,47.875,0.0,36.0,24.0,2.148,2.038,41.52,0.867,14.0,7.0,7.0,47.875,0.0,36.0,24.0,2.148,2.038,41.52,0.867,14.0,7.0,7.0,47.875,0.0,36.0,24.0,2.148,2.038,41.52,0.867
5,EntryWithCollCode43417,OsSi,CsCl,Os,Si,2.96,2.96,2.563,1.337,1.176,1.137,1.107,1.259,1.02,1.365,1.198,0.021,0.019,0.078,0.191,0.0,0.001,2.96,2.563,1.107,1.02,1.084,1.0,0.021,0.019,0.0,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,51.869,0.0,36.0,24.0,2.206,2.093,44.984,0.867,14.0,7.0,7.0,51.869,0.0,36.0,24.0,2.206,2.093,44.984,0.867,14.0,7.0,7.0,51.869,0.0,36.0,24.0,2.206,2.093,44.984,0.867
6,EntryWithCollCode52294,SnSb,GeTe(supercell),Sn,Sb,4.379,4.379,3.113,1.511,1.434,1.054,1.449,1.527,1.057,1.599,1.514,0.058,0.056,0.27,0.309,0.0,0.007,4.379,3.113,1.449,1.057,1.369,1.0,0.058,0.056,0.0,3,3,2,2,2,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.407,1.407,1.407,1.407,6,6,6.0,6.0,1.407,1.407,1.407,1.407,0,6,0.0,6.0,6,0,6.0,0.0,6.0,3.0,3.0,40.22,0.0,12.0,8.0,1.791,2.189,24.048,0.598,6.0,3.0,3.0,40.22,0.0,12.0,8.0,1.791,2.189,24.048,0.598,6.0,3.0,3.0,40.22,0.0,12.0,8.0,1.791,2.189,24.048,0.598
7,EntryWithCollCode622097,CeSb,NaCl,Ce,Sb,4.542,4.542,3.212,1.819,1.434,1.268,1.248,1.584,0.987,1.794,1.418,-0.014,-0.011,0.21,0.375,0.0,0.0,4.542,3.212,1.248,0.987,1.266,1.0,0.014,0.011,0.0,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,110.46,0.0,18.75,12.5,2.428,2.624,77.662,0.654,6.0,3.0,3.0,44.184,0.0,12.0,8.0,1.854,2.271,26.714,0.605,6.0,9.0,3.0,132.552,0.0,21.0,14.0,2.62,2.742,94.644,0.67
8,EntryWithCollCode104584,IrU,IrU,Ir,U,2.887,3.307,2.709,1.356,1.377,0.985,1.065,1.201,0.991,1.344,1.365,-0.009,-0.009,0.069,0.174,0.0,0.0,2.887,2.709,1.065,0.991,1.074,1.0,0.009,0.009,0.0,2,2,2,4,4,8,8,1,1,1.0,1.0,2,3,4.25,4.25,1.04,1.016,1.018,1.016,1,1,1.0,1.0,1.076,1.269,1.054,1.229,0,1,0.0,1.0,1,0,1.0,0.0,12.875,5.219,7.656,78.538,0.322,31.969,21.312,2.113,2.242,43.304,0.528,11.0,5.125,5.875,63.181,0.286,26.625,17.75,1.892,2.089,32.724,0.477,11.0,5.25,8.25,83.658,0.428,33.75,22.5,2.187,2.293,46.831,0.545
9,EntryWithCollCode629694,DyGa,CaSi#AlTh,Dy,Ga,3.679,2.634,3.037,1.752,1.243,1.409,1.05,1.06,1.014,1.78,1.257,0.016,0.011,0.032,0.046,0.0,0.0,2.634,3.037,1.06,1.014,1.048,1.0,0.016,0.011,0.0,4,4,2,1,1,4,4,4,2,4.0,2.0,5,2,5.0,2.0,1.01,1.153,1.01,1.153,1,4,1.0,4.0,1.211,1.0,1.211,1.0,0,0,0.0,0.0,4,2,4.0,2.0,13.0,8.5,4.5,94.895,0.157,33.0,22.0,2.421,2.488,64.542,0.664,13.0,8.5,4.5,94.895,0.157,33.0,22.0,2.421,2.488,64.542,0.664,13.0,8.5,4.5,94.895,0.157,33.0,22.0,2.421,2.488,64.542,0.664
