Entry,Formula,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,UNI_WYK_lowest_wyckoff
EntryWithCollCode105403,NiTh,2.717,2.909,1.09,0.956,1.13,1.0,0.051,0.035,0.0,4
EntryWithCollCode190197,PrSb,4.525,3.199,1.243,0.983,1.267,1.0,0.019,0.015,0.0,4
EntryWithCollCode235960,PrGa,2.619,3.162,1.053,1.032,1.027,1.0,0.037,0.025,0.0,4
EntryWithCollCode235971,HoNi,2.537,2.838,1.018,0.949,1.062,1.0,0.058,0.041,0.0,4
EntryWithCollCode623049,CoGa,2.882,2.496,1.159,1.001,1.158,1.0,0.001,0.001,0.0,1
EntryWithCollCode43417,OsSi,2.96,2.563,1.107,1.02,1.084,1.0,0.021,0.019,0.0,1
EntryWithCollCode52294,SnSb,4.379,3.113,1.449,1.057,1.369,1.0,0.058,0.056,0.0,3
EntryWithCollCode622097,CeSb,4.542,3.212,1.248,0.987,1.266,1.0,0.014,0.011,0.0,4
EntryWithCollCode104584,IrU,2.887,2.709,1.065,0.991,1.074,1.0,0.009,0.009,0.0,2
EntryWithCollCode629694,DyGa,2.634,3.037,1.06,1.014,1.048,1.0,0.016,0.011,0.0,4
EntryWithCollCode53971,FeSb,2.57,2.676,1.035,1.0,1.035,1.0,0.0,0.0,0.0,2
EntryWithCollCode646875,NiTb,2.585,2.814,1.037,0.935,1.095,1.0,0.074,0.052,0.0,4
EntryWithCollCode102712,CoU,2.678,2.65,1.071,1.009,1.063,1.0,0.009,0.008,0.0,8
EntryWithCollCode630842,ErNi,2.461,2.818,0.988,0.946,1.033,1.0,0.062,0.044,0.0,4
EntryWithCollCode641992,LaSn,2.922,3.322,0.967,0.982,0.982,1.0,0.019,0.016,0.0,4
EntryWithCollCode651558,SmSb,4.434,3.135,1.236,0.971,1.276,1.0,0.031,0.025,0.0,4
EntryWithCollCode187622,NiSi,2.667,2.34,1.07,0.966,1.109,1.0,0.035,0.033,0.0,2
EntryWithCollCode624932,CoSc,3.16,2.737,0.963,0.947,1.024,1.0,0.059,0.045,0.0,1
EntryWithCollCode43054,FeGe,2.881,2.392,1.16,0.97,1.196,1.0,0.031,0.03,0.0,4
EntryWithCollCode180215,DySi,2.468,2.928,1.049,1.0,1.049,1.0,0.0,0.0,0.0,4
