Entry,Formula,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,UNI_WYK_lowest_wyckoff
252014,LuSb,4.284,3.029,1.247,0.961,1.302,1.0,0.042,0.035,0.535,4
251912,GdSb,4.396,3.108,1.23,0.965,1.279,1.0,0.038,0.031,0.541,4
250957,PdIn,3.249,2.814,1.0,0.938,1.072,1.0,0.067,0.056,0.692,1
252007,TmSb,4.307,3.045,1.248,0.964,1.299,1.0,0.039,0.033,0.536,4
250954,YbIn,3.828,3.315,1.179,0.93,1.258,1.0,0.075,0.063,0.694,1
252074,CeSb,4.546,3.214,1.25,0.988,1.266,1.0,0.013,0.01,0.545,4
251426,YbIn,3.808,3.297,1.172,0.925,1.257,1.0,0.081,0.068,0.693,1
251988,YbSb,4.298,3.039,1.108,0.901,1.247,1.0,0.111,0.082,0.552,4
250117,ThGe,4.275,3.023,1.745,1.0,1.745,1.0,0.0,0.0,0.58,4
251239,YSb,4.359,3.082,1.222,0.958,1.281,1.0,0.046,0.037,0.54,4
260569,GdSb,4.391,3.105,1.229,0.964,1.279,1.0,0.039,0.032,0.541,4
260031,YIn,3.81,3.3,1.173,0.969,1.209,1.0,0.033,0.03,0.685,1
251956,ErSb,4.318,3.053,1.245,0.964,1.296,1.0,0.039,0.033,0.536,4
251994,YSb,4.359,3.082,1.222,0.958,1.281,1.0,0.046,0.037,0.54,4
251943,DySb,4.356,3.08,1.243,0.967,1.29,1.0,0.036,0.03,0.538,4
260247,HoSb,4.335,3.065,1.242,0.964,1.293,1.0,0.039,0.032,0.537,4
251927,TbSb,4.371,3.09,1.239,0.966,1.286,1.0,0.037,0.03,0.539,4
260046,DyIn,3.791,3.283,1.082,0.972,1.114,1.0,0.029,0.026,0.683,1
260052,TmIn,3.737,3.236,1.151,0.966,1.19,1.0,0.035,0.033,0.682,1
251935,HoSb,4.335,3.065,1.242,0.964,1.293,1.0,0.039,0.032,0.538,4
